"Summit"	"Elevation"	"Latitude"	"Longitude"	"EleSrc"	"Prominence"	"Saddle"	"IsolationKm"
"Hochplettspitze"	1134.0	47.8219588	13.469324	osm	549	561	4.32
"Lenzmoarkogel"	1991.0	47.2316329	15.0378935	osm	549	1432	21.86
"Ankogel"	3249.0	47.0511455	13.2486783	osm	549	2670	6.37
"Minčol"	1153.0	49.2345254	20.98904	osm	549	593	16.29
"Österreichischer Schinder"	1808.0	47.601085	11.8611348	osm	548	1238	4.62
"Große Kinigat / Monte Cavallino"	2689.0	46.6755556	12.5241667	osm	548	2103	10.68
"Großwand"	2415.0	47.5029421	13.5134976	osm	548	1839	4.58
"Minčol"	1394.0	49.2718166	19.2485067	osm	548	843	11.16
"Kuk"	1243.0	46.1954084	13.6198638	osm	548	691	3.94
"Lippekogel"	1079.0	46.7322217	14.4987492	osm	547	528	5.26
"Vorderseespitze"	2889.0	47.1848989	10.3671216	osm	547	2302	7.14
"Salašiská"	1132.0	48.6598673	19.9974618	osm	547	587	6.2
"Monte Capolago / Seekopf"	2554.0	46.6065207	12.8607024	osm	545	1980	1.33
"Edelsberg"	1630.0	47.5919004	10.4965208	osm	541	1068	5.77
"Glattecker"	2403.0	47.2681196	9.9713275	osm	540	1830	6.79
"Zeiritzkampel"	2125.0	47.4914042	14.726683	osm	539	1557	6.59
"Bystrá"	2248.0	49.1886176	19.8425872	osm	539	1681	11.57
"Blegoš"	1562.0	46.1649418	14.1135161	osm	539	1004	7.78
"Stenica"	1091.0	46.3671357	15.3120141	osm	539	550	4.69
"Rotenkogel"	2762.0	46.9796481	12.5976618	osm	538	2207	5.6
"Hochvogel"	2592.0	47.3803633	10.4367647	osm	537	2017	5.43
"Unterberg"	1342.0	47.938416	15.819128	osm	535	782	11.36
"Schafreuter"	2102.0	47.509013	11.4876	osm	533	1549	7.25
"Kömmelgupf / Komeljski Vrh"	1065.0	46.6172833	14.8594644	osm	533	538	10.6
"Pleschberg"	1720.0	47.6109011	14.4023246	osm	529	1187	4.04
"Weißkugel - Palla Bianca"	3738.0	46.7978283	10.7260747	osm	528	3176	14.37
"Zimba"	2643.0	47.0913617	9.7889005	osm	528	2066	5.28
"Großer Knallstein"	2599.0	47.3203059	13.9757742	osm	525	2048	10.7
"Petzeck"	3283.0	46.9482341	12.8039982	osm	525	2722	5.96
"Hochjoch"	2520.0	47.0660098	9.9883293	osm	525	1977	5.73
"Schrankogel"	3497.0	47.0442042	11.098894	osm	524	2933	9.75
"Steinfeldspitze"	2344.0	47.2661633	13.4511825	osm	524	1805	4.49
"Vesulspitze"	3089.0	47.0016667	10.3491667	osm	523	2537	8.78
"Prisank"	2547.0	46.4247004	13.7697143	osm	523	1990	2.16
"Schöckl"	1445.0	47.1976213	15.4625265	osm	522	929	15.61
"Poludnig"	1999.0	46.5721686	13.4098457	osm	522	1467	6.68
"Habicht"	3277.0	47.0438844	11.2895399	osm	520	2718	9.59
"Čerchov"	1042.0	49.3833505	12.7837128	osm	520	515	19.35
"Czupel"	930.0	49.767881	19.1610286	osm	519	414	9.86
"Piz Buin"	3312.0	46.8441197	10.1188811	osm	515	2774	6.02
"Triebenstein"	1810.0	47.4453514	14.486893	osm	514	1270	2.72
"Erlakogel"	1575.0	47.819371	13.8256614	osm	513	1035	3.34
"Wertacher Hörnle"	1695.0	47.5495735	10.3862873	osm	512	1156	5.0
"Taubenbühel"	1069.0	46.660854	14.0546338	osm	512	559	6.03
"Schatzbichl"	2090.0	46.7243161	12.9118337	osm	512	1562	4.15
"Mosermandl"	2680.0	47.2062367	13.3957863	osm	510	2132	4.45
"Hufberg"	1378.0	48.7699013	13.847162	osm	510	867	25.0
"Hoher Radling"	1398.0	47.5940967	13.8123486	osm	507	873	2.19
"Veliki vrh (Begunjščica)"	2060.0	46.4216784	14.2297565	osm	507	1534	2.29
"Großer Zeller Hut"	1639.0	47.7537729	15.200629	osm	506	1110	7.42
"Salatín"	1630.0	48.9801522	19.3624998	osm	506	1107	6.2
"Krasji vrh"	1777.0	46.2893175	13.5923173	osm	506	1264	2.94
"Geier"	2857.0	47.1401168	11.6328695	osm	505	2338	7.33
"Planjava - Vzhodni vrh"	2392.0	46.3565325	14.6137204	osm	504	1863	3.87
"Zinken"	1619.0	47.6803071	15.2193952	osm	503	1099	3.72
"Aineck"	2210.0	47.0555463	13.637103	osm	502	1699	5.24
"Kramerkogel"	1802.0	47.129911	14.0838535	osm	501	1289	5.87
"Fabova hoľa"	1439.0	48.7725969	19.8856962	osm	501	937	13.96
"Stangl"	1592.0	47.690444	14.854222	osm	500	1081	3.73
"Rohačka"	1028.0	48.9238891	21.0127	osm	500	523	10.98
"Ještěd"	1012.0	50.7327738	14.9839199	osm	498	498	18.2
"Seebergspitze"	2085.0	47.4661063	11.6792249	osm	497	1558	4.64
"Kopitnik"	910.0	46.1085249	15.1798935	osm	497	413	3.5
"Prochenberg"	1123.0	47.9323262	14.9137821	osm	496	620	4.45
"Kněhyně"	1258.0	49.4958454	18.312649	osm	496	755	3.96
"Feichteck"	1114.0	47.879308	14.6372841	osm	495	606	4.03
"Haugstein"	895.0	48.5083979	13.6703954	osm	495	400	11.6
"Kitzbüheler Horn"	1996.0	47.476123	12.4297939	osm	493	1486	8.09
"Großer Galtenberg"	2424.0	47.3368365	11.9758788	osm	492	1902	5.23
"Gamskögel (Westgipfel)"	2386.0	47.3657472	14.5486564	osm	492	1859	6.54
"Jalovec"	2645.0	46.4215623	13.6800326	osm	491	2115	2.67
"Ramsauer Größtenberg"	1457.0	47.828481	14.2842034	osm	490	942	3.27
"Preber"	2740.0	47.2199741	13.864745	osm	489	2242	9.22
"Spitzmauer"	2446.0	47.6955632	14.0620251	osm	488	1933	2.16
"Großer Peilstein"	1062.0	48.3027566	15.1014097	osm	487	570	25.0
"Travný"	1203.0	49.5615932	18.5069527	osm	486	711	4.14
"Buchensteinwand"	1462.0	47.483911	12.5833988	osm	484	959	3.12
"Breitenberg"	1412.0	47.7719952	13.5154206	osm	484	911	2.81
"Sorgschrofen"	1636.0	47.5558382	10.454449	osm	483	1122	3.01
"Faistenauer Schafberg"	1559.0	47.7488147	13.3047558	osm	483	1056	5.49
"Veľký bok"	1727.0	48.943339	19.8779614	osm	483	1231	12.06
"Filbling"	1307.0	47.7879115	13.2678306	osm	482	818	3.52
"Tratenkogel"	1565.0	47.645928	15.7261354	osm	482	1074	4.37
"Finailspitze - Punta di Finale"	3514.0	46.7802848	10.8319334	osm	481	3013	3.93
"Großer Wildenkogel"	2093.0	47.712437	13.793016	osm	481	1598	13.5
"Köglhörndl"	1644.0	47.547868	12.0565033	osm	481	1154	5.87
"Schlieferspitze"	3290.0	47.1229625	12.24303	osm	480	2781	4.55
"Rosseck"	1664.0	47.3585261	15.2049894	osm	480	1175	12.61
"Wielka Sowa"	1015.0	50.6802778	16.4855556	osm	480	531	25.0
"Stolica"	1477.0	48.7736646	20.2067542	osm	480	991	10.69
"Hochzinödl"	2191.0	47.5655027	14.666104	osm	479	1693	2.17
"Kulm"	975.0	47.2254035	15.7589218	osm	479	486	5.37
"Thalerkogel"	1656.0	47.4768	15.0539551	osm	479	1157	5.48
"Kolomansberg"	1114.0	47.8766977	13.2751451	osm	479	630	7.45
"Bele peči (Lepi vrh)"	1926.0	46.5121888	13.8645682	osm	479	1440	6.16
"Breiter Grieskogel"	3287.0	47.1012558	11.0226228	osm	477	2787	6.74
"Gratlspitze"	1894.0	47.4149707	11.9476932	osm	477	1402	3.92
"Rofelewand"	3353.0	47.0324015	10.8184731	osm	476	2821	3.29
"Hochkranz"	1953.0	47.5236584	12.7895733	osm	476	1460	3.13
"Stinská/Стинка"	1093.0	48.999915	22.525573	osm	476	605	9.38
"Kleiner Solstein"	2637.0	47.3024831	11.3244004	osm	475	2126	7.94
"Skalka"	964.0	49.5528186	18.3008675	osm	475	479	4.37
"Hintere Stangenspitze"	3225.0	47.0574537	11.97572	osm	474	2732	5.17
"Großes Maiereck"	1764.0	47.672056	14.5525	osm	473	1268	4.52
"Rabenwaldkogel"	1280.0	47.301674	15.7366172	osm	473	805	9.81
"Tschekelnock"	1892.0	46.6519028	13.5370009	osm	473	1405	3.75
"Donačka gora"	882.0	46.262711	15.7422027	osm	473	389	10.74
"Hochturm"	2081.0	47.5337233	15.0066531	osm	472	1576	6.33
"Schwarzwand"	2214.0	47.0077206	13.6929476	osm	470	1740	7.23
"Valschavieler Maderer"	2769.0	47.0250086	10.0697805	osm	470	2272	7.18
"Schwarzkogel"	1554.0	47.6966121	14.4880131	osm	470	1063	3.54
"Runzelberg"	953.0	47.9671263	15.0896715	osm	470	479	3.48
"Sparber"	1502.0	47.6942751	13.4661946	osm	469	985	1.38
"Kleiner Rettenstein"	2217.0	47.3370323	12.3419336	osm	469	1719	3.14
"Kragenjoch"	1425.0	47.4503537	12.0202689	osm	469	935	3.37
"Jauerling"	961.0	48.339768	15.338003	osm	467	501	15.67
"Gopfberg"	1316.0	47.35782	9.898979	osm	466	834	2.57
"Petelinjek / Hahnenwipfel"	1552.0	46.5182445	13.7340145	osm	465	1076	2.36
"Strážov"	1215.0	48.9549062	18.4630839	osm	465	733	12.98
"Sauwand"	1420.0	47.745121	15.327338	osm	463	937	3.4
"Prosečné"	1372.0	49.1750162	19.513435	osm	463	898	7.06
"Großer Hundstod"	2593.0	47.5127249	12.8849252	osm	462	2112	4.44
"Fuscher-Kar-Kopf"	3331.0	47.0990523	12.7449769	osm	462	2849	3.54
"Kojca"	1303.0	46.1538172	13.9267748	osm	462	837	3.67
"Höllwand"	2287.0	47.2826478	13.1638462	osm	461	1792	9.72
"Veliko Kozje"	993.0	46.0851898	15.220477	osm	461	532	9.9
