"Summit"	"Elevation"	"Latitude"	"Longitude"	"EleSrc"	"Prominence"	"Saddle"	"IsolationKm"
"Schwarze Schneid"	2565.0	47.4504962	12.9840512	osm	102	2449	1.27
"Fleischkopf"	2472.0	47.2040718	10.25795	osm	102	2348	1.42
"Kasparstein"	841.0	46.6769622	14.8695025	osm	102	725	1.15
"Einsiedlerkogel"	1079.0	47.892754	14.3699079	osm	102	960	1.44
"Friesingwand"	1064.0	47.4199458	15.0522287	osm	102	958	1.02
"Jöchl"	1554.0	47.5524906	11.9479932	osm	102	1436	1.97
"Wasenwand"	2563.0	47.0880434	11.3574607	osm	102	2433	0.87
"Die Röten"	819.0	47.9446529	13.3865095	osm	102	726	1.85
"Schafmarebenkogel"	2651.0	47.255357	11.0797026	osm	102	2517	0.54
"Hahnalpl"	1942.0	47.3317339	14.1549671	osm	102	1819	1.57
"Am Schacher"	633.0	48.0327	15.9866	osm	102	530	1.4
"Eckelsberg"	842.0	47.9371808	14.1875726	osm	102	733	3.2
"Strugenkopf"	2420.0	46.8958404	13.1078572	osm	102	2298	1.76
"Mutterberger Seespitze"	3302.0	47.0234302	11.1086426	osm	102	3176	1.06
"Häuselberg"	731.0	47.3602638	15.0811558	osm	102	621	0.97
"Hochegg"	884.0	47.8983185	14.8632153	osm	102	772	1.31
"Feuerspitze"	2852.0	47.1998421	10.3686214	osm	102	2720	0.65
"Mießeck"	1840.0	46.96492	13.5833819	osm	102	1736	1.54
"Schwarzeck"	2636.0	47.1850399	13.5179415	osm	102	2510	1.41
"Durrajoch"	1738.0	47.3625596	11.7985819	osm	102	1627	2.52
"Geißberg"	781.0	47.9285616	14.8426171	osm	102	662	0.91
"Rossegg"	1330.0	47.6181406	15.479393	osm	102	1232	2.69
"Großer Seekopf"	1323.0	47.6880559	15.453515	osm	102	1217	1.45
"Marchkarspitze"	2515.0	47.0955818	13.3324138	osm	102	2379	0.82
"Gornja (Gorna)"	1189.0	46.5195696	14.8192799	osm	102	1072	1.1
"Reiserkogel"	3082.0	47.0456117	10.9066282	osm	102	2919	0.53
"Čertova hora"	1023.0	50.761727	15.4304179	osm	102	922	2.46
"Besedná"	496.0	49.7646896	14.3761702	osm	102	395	5.87
"Nedvězí"	458.0	50.5070223	14.5292476	osm	102	341	3.88
"Špičák"	399.0	50.519722	13.667778	osm	102	275	2.36
"Pekelský vrch"	487.0	50.8943006	15.1672051	osm	102	393	1.6
"Kovářský vrch"	461.0	50.7558019	14.6893291	osm	102	364	2.96
"Sochová"	740.64	49.3850089	17.7952061	osm	102	635	1.53
"Obidová"	832.0	49.5276362	18.5092552	osm	102	743	1.23
"Jahodová"	505.0	50.1522522	16.3499416	osm	102	419	3.46
"Krkanka"	567.8	49.895858	15.5754159	osm	102	473	4.95
"Kamenný vrch"	962.8	50.445595	13.0349176	osm	102	857	2.33
"Válečkova Kyčera"	829.0	49.3110814	18.2455918	osm	102	724	1.25
"Nemecký vrch"	846.0	48.7158187	19.0547664	osm	102	738	1.49
"Malý Grič"	878.0	48.7318627	18.7139913	osm	102	749	1.18
"Zbojský stôl"	889.0	48.8928302	20.7635436	srtm	102	787	2.47
"Predná hoľa"	1546.0	48.9142237	20.202514	osm	102	1439	1.98
"Płaziny / Staviská"	806.0	49.4025008	21.2081493	osm	102	700	0.93
"Mestský vrch"	583.0	48.9374736	17.961853	osm	102	472	1.53
"Malinné"	912.0	49.2785597	18.4725512	osm	102	803	1.63
"Vtáčnik"	1236.0	49.0656486	19.2198014	osm	102	1132	1.13
"Kalinec"	574.0	49.3727221	21.531328	osm	102	481	1.98
"Ostrý vrch"	990.0	49.5706897	19.4327264	osm	102	889	1.8
"Inovec"	322.0	48.9259558	21.7258852	osm	102	221	2.19
"Zlatý vrch"	850.0	48.4941868	18.8572827	osm	102	737	2.06
"Hradisko"	780.0	48.8250894	19.4166514	srtm	102	678	0.96
"Šavnik"	1574.0	46.2419812	13.9847353	osm	102	1444	0.64
"Špik"	882.0	46.2165703	14.1664723	osm	102	766	1.09
"Plaski Vogel"	2349.0	46.3377037	13.7506799	osm	102	2223	1.34
"Planina"	932.0	46.0825138	15.2045527	osm	102	818	1.07
"Ostrež"	856.0	46.0826862	14.9732218	osm	102	723	0.87
"Javorškov hrib (Veliki vrh)"	725.0	46.2194705	14.9535758	osm	102	621	0.74
"Tržišče"	399.0	46.2315871	15.7110042	osm	102	280	1.64
"Linker Fernerkogel"	3278.0	46.9211912	10.9101317	osm	101	3153	0.66
"Wildenkarkogel"	1910.0	47.4014343	12.6856193	osm	101	1799	4.72
"Wagendrischelhorn"	2251.0	47.5988564	12.7917253	osm	101	2123	0.61
"Galtbergspitze"	2391.0	47.3709985	10.7729162	osm	101	2252	1.35
"Östliche Larchetfleckspitze"	2362.0	47.4307958	11.3134407	osm	101	2233	0.86
"Durrenberg"	1534.0	47.5371602	12.0108157	osm	101	1415	0.84
"Gernkogel"	1787.0	47.3075886	13.2383784	osm	101	1679	1.58
"Filzmooshörndl"	2189.0	47.2047327	13.267857	osm	101	2071	1.04
"Kuhkogel"	978.0	47.7166034	15.2579638	osm	101	853	0.98
"Gruft"	2232.0	46.9053666	13.9020952	osm	101	2119	0.78
"Natterriegel"	2065.0	47.6403492	14.4893966	osm	101	1939	0.78
"Zwölferkogel"	2988.0	47.190173	11.0108677	osm	101	2862	0.83
"Meiseleck"	850.0	47.4745749	15.4329703	osm	101	748	0.98
"Bambichl"	878.0	47.7848123	13.3021552	osm	101	753	0.82
"St. Leonharder Alm"	1933.0	47.0252535	14.8561862	osm	101	1818	1.66
"Hohe Schreiberwand"	2637.0	47.4934696	13.5921318	osm	101	2508	0.59
"Seitekopf"	2336.0	47.2824842	10.5527349	osm	101	2220	1.35
"Cima Gail"	1705.0	46.5493953	13.3871008	osm	101	1596	1.12
"Dorneck"	2658.0	46.9326783	13.3059257	osm	101	2533	0.69
"Dechant"	2609.0	46.8436867	13.1311415	osm	101	2482	1.03
"Kalser Bärenkopf"	3079.0	47.1125388	12.601217	osm	101	2944	1.47
"Resseck"	2498.0	46.9678739	13.1285038	osm	101	2376	1.07
"Schafpleiskopf"	2707.0	47.0299474	10.3908313	osm	101	2583	0.93
"Saxalmwand"	2635.0	47.0133347	11.5660158	osm	101	2509	0.75
"Tschaneck"	2024.0	47.0612625	13.5962907	osm	101	1919	1.37
"Hainboden"	1268.0	47.7577932	15.7268194	osm	101	1158	1.13
"Hintring"	922.0	48.5761687	14.1087777	osm	101	830	6.14
"Hainzl-Wasserkogel"	2002.0	47.3654243	14.2673778	osm	101	1896	1.19
"Höllwieser"	1861.0	47.6581041	13.8355071	osm	101	1739	0.67
"Großer Kollmannstock"	1768.0	47.5978181	14.941776	osm	101	1648	2.15
"Schafkogel"	1746.0	47.1594721	14.5133763	osm	101	1636	1.58
"Schüttenberg"	284.0	48.0785843	16.7402726	osm	101	181	11.03
"Sonnstein"	835.0	47.9990902	15.840767	osm	101	723	2.85
"Goldspitz"	1467.0	47.7856279	15.1224339	osm	101	1361	2.12
"Pflunspitzen"	2912.0	47.079727	10.132736	osm	101	2775	5.59
"Korecký vrch"	465.0	50.5353879	14.6067301	osm	101	342	2.33
"Hůrecký vrch"	1099.0	49.1356375	13.3396619	osm	101	997	1.67
"Černá skála"	731.0	49.3805406	13.1150768	osm	101	629	1.59
"Čerčanský chlum"	530.0	49.842481	14.7288031	osm	101	435	4.34
"Čupel"	872.0	49.6288208	18.505467	osm	101	775	2.55
"Přední Hradiště"	712.0	50.5816534	16.0603077	osm	101	619	3.02
"Velký Kameník"	575.3	49.0975959	14.4432773	osm	101	480	13.52
"Pavlovský vrch"	716.0	49.6213071	16.2474429	srtm	101	615	2.8
"Bouda"	955.6	50.0454779	16.8508364	osm	101	859	2.55
"Nebovid"	370.0	49.1357616	16.5435338	osm	101	266	2.3
"Nedánov"	368.0	48.980996	16.8216629	osm	101	274	2.31
"Góra Krzyżowa"	353.5	50.9735898	16.3364273	osm	101	242	2.94
"Ostrý vrch"	777.0	48.9313226	18.4283103	osm	101	671	0.98
"Sádocký vrch"	977.0	48.9935559	18.5525978	osm	101	871	2.7
"Dúbrava"	700.0	48.7077247	20.3171051	osm	101	600	1.45
"Prostá"	1144.0	49.1990219	18.9517065	osm	101	1023	0.97
"Guda"	413.0	48.264249	19.9656063	osm	101	309	1.9
"Zahrajišná"	635.0	49.2478139	18.7842488	osm	101	540	1.87
"Lámaniny"	730.0	48.5090666	18.5204718	osm	101	620	1.33
"Orlov"	792.0	49.0497092	20.4195438	osm	101	705	2.07
"Lysá hora"	465.0	49.0848543	21.4563734	osm	101	374	1.59
"Kýčera"	721.0	49.1637237	22.1598584	osm	101	614	1.08
"Poľana"	950.0	48.7502645	19.5888634	srtm	101	849	3.06
"Holica / Голиця"	984.0	48.8075892	22.3849122	osm	101	890	3.39
"Bakalár"	426.0	48.7244104	17.7698409	osm	101	317	2.15
"Čelo"	915.0	46.1444005	14.0947664	osm	101	793	0.78
"Plešivec"	2184.0	46.4101946	13.6604332	osm	101	2064	0.58
"Mali Javornik"	1685.0	46.3819873	14.4173988	osm	101	1565	1.22
"Mali vrh"	708.0	46.0531109	14.2746229	osm	101	591	0.84
"Peči"	828.0	46.2877774	13.9714294	osm	101	723	0.68
"Velika Kopa"	662.0	46.2762838	15.6725575	osm	101	569	0.64
"Cerovec"	631.0	46.2641595	15.6520014	osm	101	522	0.65
"Thurntaler"	2408.0	46.7745215	12.3829073	osm	100	2295	1.72
"Wiedersberger Horn"	2127.0	47.361238	11.9228776	osm	100	2001	2.5
"Moiserberg"	779.0	48.4108699	14.6558507	osm	100	674	1.58
"Delpsjoch"	1945.0	47.5008212	11.4958072	osm	100	1816	0.67
"Weiter Karkopf"	2777.0	47.162385	10.836638	osm	100	2654	1.52
"Kleiner Dristkogel"	2934.0	47.0546	10.800658	osm	100	2793	0.46
"Wasserfallspitze"	2507.0	47.3026967	13.72955	osm	100	2387	0.94
"Grubenkarspitze"	3002.0	46.9436191	10.8189991	osm	100	2874	1.05
"Raachberg"	908.0	47.6533376	15.9402453	osm	100	813	2.19
"Priedröf"	1963.0	46.8198202	13.741237	osm	100	1860	1.85
"Vorderhorn"	2110.0	47.543278	12.6829717	osm	100	1987	0.63
"Östlicher Krottenkopf"	2180.0	47.4352177	10.5353926	osm	100	2040	0.71
"Garstner Eck"	794.0	47.7091647	14.3342856	osm	100	680	1.78
"Hadeggerkogel"	779.0	48.0021994	15.6178322	osm	100	661	1.42
"Zagelkogel"	2255.0	47.6106043	15.1237009	osm	100	2131	1.56
"Egesengrat"	2631.0	47.00188	11.1358386	osm	100	2516	1.14
"Norenberg"	638.0	46.64196	14.2222	osm	100	538	1.77
"Sonnblick"	2515.0	46.9003462	13.383461	osm	100	2392	0.74
"Plattenberg"	750.0	48.0151185	14.5491688	osm	100	650	3.18
"Tamberg"	1516.0	47.7373388	14.2164758	osm	100	1387	5.07
"Hörndl"	2853.0	47.1664369	12.51639	osm	100	2723	1.5
"Talderkopf"	2538.0	47.013608	12.8276573	osm	100	2414	0.89
"Margschierf"	2080.0	47.5154475	13.7068546	osm	100	1977	1.45
"Schoberkogl"	1039.0	47.3722316	15.6366061	osm	100	938	1.07
"Marbling"	800.0	47.6094209	12.1513748	osm	100	688	1.25
"Teufelskirche"	1074.0	47.9297276	14.3087869	osm	100	940	0.59
"Zoppelgupf"	857.0	46.7848193	14.4885473	osm	100	756	1.15
"Bockleiten"	1022.0	46.6766972	14.0286588	osm	100	936	1.7
"Brustingerkogel"	2302.0	47.2155419	12.5717443	osm	100	2170	0.86
"Hohe Burg"	1016.0	47.8564671	15.265224	osm	100	904	1.45
"Seeleschrofen"	2247.0	47.268319	9.9907	osm	100	2110	0.44
"Sankt Urbaner Berg"	881.0	46.7432374	14.1544632	osm	100	777	1.02
"Strohwollner Horn"	1597.0	47.5690003	12.7417625	osm	100	1478	0.71
"Weißenfluh"	1377.0	47.379042	9.831037	osm	100	1278	1.59
"Grybla"	514.0	49.880254	14.5659331	osm	100	419	2.69
"Slunečná"	995.0	49.114253	13.4016776	osm	100	890	2.14
"Golem"	443.0	50.8090374	14.2421891	srtm	100	343	2.38
"Kopšovec"	885.0	49.2747506	18.2480651	osm	100	781	1.95
"Výhledy"	656.0	50.0605311	12.2758929	osm	100	564	9.19
"Loketské lesní stesky"	839.0	50.1372455	12.7288277	srtm	100	739	2.99
"Bukowiec"	898.0	50.6941862	16.2585896	osm	100	794	1.54
"Czeszka"	742.1	50.6288206	16.6059865	osm	100	643	0.85
"Góra Ziuty"	630.6	50.7304402	16.1136662	osm	100	543	3.43
"Veľký Javorník"	594.0	48.2609534	17.1633522	osm	100	492	4.09
"Ostrý vrch"	601.0	48.8033769	17.5016386	osm	100	497	3.16
"Židov vŕštek"	878.0	48.8933991	18.3349976	osm	100	770	1.74
"Usypaná skala"	1158.0	49.0555669	18.7333619	osm	100	1050	2.55
"Rajtopíky"	1036.0	48.9953787	20.8652028	osm	100	921	1.23
"Koldorina"	595.0	49.368059	21.2753825	osm	100	502	1.18
"Hrdovická"	471.0	48.5027505	18.2032778	osm	100	366	2.52
"Zemiansky diel"	758.0	49.1780235	19.2295348	osm	100	644	1.58
"Bralo"	817.0	49.1668625	19.3073815	osm	100	711	0.85
"Stežky"	1530.0	49.2078096	20.2763479	osm	100	1403	1.43
"Trniny"	793.0	49.2292386	19.2774795	osm	100	689	2.59
"Mokava"	373.0	48.2541349	19.7308993	srtm	100	273	4.97
"Krížový vrch"	1103.0	49.017468	20.2040695	srtm	100	1003	0.76
"Cigánka"	935.0	48.7573361	20.0569688	osm	100	831	1.0
"Červená"	741.0	48.6701657	19.8953995	srtm	100	641	1.03
"Sladná skala"	913.0	48.6093272	18.5551641	osm	100	799	0.93
"Úval"	537.0	48.6628658	17.5757284	osm	100	438	1.04
"Lanževica"	2003.0	46.2967658	13.7247645	osm	100	1887	1.31
"Visoki vrh"	1459.0	46.3852614	14.5247092	osm	100	1345	0.83
"Volnik"	956.0	46.043284	13.7422694	osm	100	842	2.22
"Kozjica"	513.0	46.1357948	15.1833134	osm	100	406	1.2
"Žličar"	674.0	46.0635361	15.5387429	osm	100	562	1.06
"Gatschkopf"	2945.0	47.1732212	10.4893047	osm	99	2831	0.76
"Hohe Warte"	2596.0	47.3015941	11.3334901	osm	99	2461	0.7
"Kienberg"	2218.0	47.2944293	10.711339	osm	99	2082	1.11
"Bergkastelspitze - Cima Castello"	2920.0	46.8468669	10.5563765	osm	99	2788	0.66
"Badstubenspitz"	2076.0	47.3242069	14.0106475	osm	99	1968	0.78
"Breitmodl"	2380.0	47.2821678	14.0380229	osm	99	2261	1.06
"Innerer Knorrkogel"	2884.0	47.1020135	12.4198634	osm	99	2757	0.63
"Äußere Quellspitze - Cima della Sorgente di Fuori"	3385.0	46.7784582	10.7294888	osm	99	3257	0.42
"Hochhirn"	1821.0	47.8065057	13.6666623	osm	99	1709	0.86
"Rohrbacher Kogel"	388.0	47.724642	16.4482971	osm	99	284	2.92
"Beerwart"	458.0	48.1711938	16.1107656	osm	99	360	1.55
"Gösleswand"	2912.0	46.9794623	12.295401	osm	99	2788	0.69
"Grießkogel"	2543.0	47.474851	12.9729963	osm	99	2427	1.11
"Tagkopf"	2085.0	47.2336902	13.0643042	osm	99	1968	0.63
"Steinkarspitze - Cima Quadra"	2871.0	47.0887128	12.1979283	osm	99	2737	1.23
"Lenkenspitz"	2298.0	46.8131275	13.25744	osm	99	2181	2.15
"Hochwanner"	2085.0	47.443597	10.8820369	osm	99	1968	1.02
"Figerhorn"	2743.0	47.0312636	12.6751916	osm	99	2618	0.78
"Schwarzeck"	1537.0	47.6456981	14.2977401	osm	99	1419	0.78
"Schmalztrager"	1889.0	47.6276072	13.4652106	osm	99	1769	0.8
"Ischlkogel"	977.0	47.62073	13.7416104	osm	99	878	0.57
"Hirschstein"	2047.0	46.9984936	14.0857168	osm	99	1940	2.42
"Elendspitze"	2782.0	47.0241412	13.4971903	osm	99	2651	0.75
"Krachriegel"	2706.0	46.9549579	13.2780509	osm	99	2587	0.6
"Bärenstein"	1003.0	48.6540753	14.7463914	osm	99	909	4.0
"Kitzberg"	1123.0	47.5436541	10.7097938	osm	99	1010	1.14
"Freiwandspitze"	2919.0	47.0423023	12.6823633	osm	99	2794	1.58
"Oberstkogel"	2570.0	46.9594711	12.4703412	osm	99	2439	1.13
"Eibenberg"	789.0	47.78486	13.5672431	osm	99	679	0.83
"Gaiskogel"	3128.0	46.9551869	11.1289633	osm	99	3004	0.82
"Arzberg"	1111.0	47.4668348	15.8176319	osm	99	1005	2.58
"Fußstein"	3380.0	47.047063	11.6494738	osm	99	3252	0.63
"Graukogel"	2834.0	47.2023305	12.3795772	osm	99	2710	1.83
"Hochkuchl"	656.0	48.1578608	13.505528	osm	99	557	2.32
"Hochgrubenkopf"	2664.0	46.9297268	13.0095742	osm	99	2549	1.83
"Buchskopf"	1865.0	46.761264	13.8749666	osm	99	1760	2.25
"Dickkopf"	1203.0	47.6536668	12.6591731	osm	99	1100	1.02
"Wurmwand"	2195.0	47.2716414	13.5615673	osm	99	2068	1.01
"Blekowa / Blekova (Zajčnik)"	1746.0	46.5150921	13.8290746	osm	99	1633	1.31
"Leinikogel"	1170.0	47.0403942	14.745369	osm	99	1078	1.0
"Tällispitz"	2843.0	46.8652119	10.0508898	osm	99	2720	1.21
"Věžní skály"	1018.0	50.8364476	15.3483807	osm	99	905	3.27
"Partyzánský vrch"	530.0	50.9965172	14.4060567	osm	99	433	2.27
"Čupel"	944.0	49.5236111	18.4252778	osm	99	831	1.41
"Loučka"	835.0	49.6251821	18.7820177	osm	99	730	1.89
"Szeroka"	842.0	50.6734966	15.9935576	osm	99	743	1.75
"Bukov"	572.0	49.8414587	13.7537638	osm	99	488	3.39
"Na raketě"	911.7	50.2009116	13.073395	osm	99	813	3.7
"Holý vrch"	662.0	49.4174899	16.0576409	osm	99	565	8.85
"Skytalský vrch"	552.4	50.1701508	13.3179646	osm	99	453	3.06
"Homolka"	713.0	50.0666236	13.0596905	osm	99	615	5.39
"Swarna"	315.4	50.9941667	16.3661111	osm	99	216	2.98
"Mała Zabawa"	797.0	49.5202823	19.073277	osm	99	697	1.32
"Kôpky"	2354.0	49.167778	20.083889	osm	99	2235	0.61
"Hrádok"	877.0	49.0420316	19.6600793	osm	99	769	0.75
"Smrekov"	1441.0	48.8854201	19.0235844	osm	99	1322	2.35
"Medvedie"	587.0	49.2630319	18.5065972	osm	99	491	1.19
"Kočina hora"	426.0	48.8780396	18.0939349	osm	99	329	1.34
"Bučina"	858.0	48.7604044	20.3795384	osm	99	760	3.06
"Kečka"	814.0	48.5321255	19.7784469	srtm	99	715	1.32
"Horná lúka"	1299.0	49.0648148	18.7848276	osm	99	1219	1.47
"Velika Tičarica"	2092.0	46.3225437	13.7856404	osm	99	1987	0.84
"Vrtec"	1811.0	46.3048322	13.8067917	osm	99	1701	1.29
"Žubejev grič"	746.0	46.2379911	14.703788	osm	99	651	0.88
"Golek"	821.0	46.066949	13.6780249	osm	99	717	3.91
"Kal"	684.0	46.1643824	14.8611746	osm	99	577	0.65
"Višelnica"	735.0	46.3862335	14.0712289	osm	99	620	0.74
"Ivškov hrib (Brdo)"	573.0	46.156595	15.1968415	osm	99	463	1.49
"Pernice"	872.0	46.1811981	15.1687618	osm	99	752	1.38
"Žikovsko brdo"	686.0	46.164613	15.2638453	osm	99	567	0.84
"Blauer Knopf"	2593.0	47.0194784	12.6025718	osm	98	2472	1.01
"Aperer Freiger"	3262.0	46.9767153	11.1796667	osm	98	3142	0.9
"Grabnerstein"	1848.0	47.6329587	14.5044196	osm	98	1713	0.86
"Brechkogel"	2918.0	47.1480317	10.8326682	osm	98	2798	0.61
"Schloßberg"	474.0	47.0765398	15.4376074	osm	98	371	1.81
"Fatlarspitze"	2986.0	47.0520317	10.2867644	osm	98	2835	1.08
"Hühnereck"	2035.0	47.3815361	14.1553956	osm	98	1918	0.82
"Rotwandl"	2231.0	47.4765399	12.9226831	osm	98	2125	1.01
"Mittlerer Madatschturm"	2837.0	47.0009112	10.7805597	osm	98	2695	0.51
"Südlicher Gamskopf"	3100.0	46.9289343	10.6588085	osm	98	2978	1.09
"Tauberspitze"	2298.0	47.3561635	10.603825	osm	98	2169	1.2
"Kuhljochspitze"	2297.0	47.3149478	11.2713787	osm	98	2163	0.94
"Lerchkogel"	1688.0	47.514521	11.5623689	osm	98	1578	1.43
"Holzeck"	1649.0	47.6790443	13.3286139	osm	98	1487	1.31
"Vorderer Kesselgupf"	1823.0	47.8093306	13.6768347	osm	98	1713	1.2
"Gruberkogel"	1096.0	47.8882163	15.3858899	osm	98	985	0.69
"Hochegg"	1817.0	47.3522174	13.0728513	osm	98	1700	0.95
"Kreuz"	2174.0	47.7291821	14.0579013	osm	98	2050	0.95
"Hacklberg"	789.0	47.9220547	13.9468733	osm	98	688	2.87
"Gänsekragen"	2914.0	47.0901053	11.0395958	osm	98	2787	0.94
"Kleiner Mitterberg"	1155.0	47.6938229	14.4520329	osm	98	1040	0.65
"Oblitzen"	2658.0	47.0802871	13.4576452	osm	98	2544	1.85
"Deferegger Riegel"	2729.0	46.9451298	12.506001	osm	98	2612	0.76
"Kleines Gurpitscheck"	2378.0	47.2023167	13.6216743	osm	98	2260	0.86
"Niedererberg"	2196.0	47.0041095	11.4498904	osm	98	2085	1.13
"Schmittenberg"	2731.0	47.1056991	11.7057468	osm	98	2607	0.83
"Wackelstein"	807.0	48.4103004	14.8016437	osm	98	714	1.19
"Zotenjoch"	1885.0	47.5447064	11.593273	osm	98	1775	0.53
"Nob"	1785.0	47.281585	9.762537	osm	98	1662	0.97
"Kalvarienberg"	1306.0	47.1827258	14.0266066	osm	98	1202	0.65
"Paraplui"	1050.0	46.8261001	15.1495205	osm	98	957	3.28
"Grilzberg"	1592.0	46.7153592	13.9599597	osm	98	1482	2.62
"Wagnerkogel"	1459.0	47.233213	14.4996867	osm	98	1352	2.08
"Salzerkopf"	1352.0	46.9236119	14.2453187	osm	98	1254	2.46
"Höhenberg"	863.0	48.0295909	15.56731	osm	98	753	0.9
"Buchberg"	532.0	47.2203332	15.8025348	osm	98	431	0.47
"Bergkogel"	1612.0	46.9808903	14.8735304	osm	98	1510	2.2
"Hoher Stein"	657.0	48.8380784	15.4078424	osm	98	550	2.37
"Brackersberg"	464.0	48.238966	15.3988999	osm	98	360	1.82
"Mlýny"	475.3	50.8755954	14.3666077	osm	98	359	1.64
"Maršál"	562.0	49.6905111	13.5386453	osm	98	479	4.74
"Stráž"	782.0	50.718934	15.448732	osm	98	691	2.06
"Baba"	583.0	49.0018285	14.5612114	osm	98	487	17.33
"Radovec"	635.0	49.1937949	14.0421026	osm	98	549	4.37
"Pohoř"	481.0	49.6555206	17.8551568	osm	98	385	2.4
"Stráň"	551.0	48.8324858	17.4868457	osm	98	462	2.7
"Lejškov"	487.0	49.8982432	14.0305333	osm	98	380	4.95
"Červená hora"	485.9	49.8276287	14.4059413	osm	98	387	5.78
"Baba"	673.2	50.6133861	15.909251	osm	98	586	2.11
"Koníček"	507.0	50.3728564	16.1857889	osm	98	406	0.72
"Mirotický vrch"	791.0	50.1251478	13.0060203	osm	98	691	7.1
"Uhelný vrch"	773.0	50.1437276	12.9126523	osm	98	670	2.74
"Kawczak"	600.9	50.2967964	16.5942028	osm	98	503	1.07
"Wołowiec"	776.3	50.7339446	16.3063952	osm	98	661	0.88
"Klasztorzysko"	631.0	50.7489639	16.3630758	osm	98	533	2.89
"Malinów"	1115.0	49.6602005	18.9775731	osm	98	1005	1.56
"Góra Kaprówka"	743.0	49.7926157	19.3085412	osm	98	648	1.35
"Kiczora"	752.0	49.6101305	19.3414429	osm	98	646	2.57
"Sivec"	781.0	48.8489281	21.0997947	osm	98	661	1.41
"Malý Minčol"	1054.0	49.2549897	21.0041548	osm	98	954	2.23
"Veľká homoľa"	709.0	48.3632176	17.2611267	osm	98	608	3.6
"Belanská Poľana"	864.0	48.8644929	18.3674283	osm	98	750	2.06
"Vtáčí vŕštek"	910.0	48.7329157	17.9991965	osm	98	804	2.45
"Kňaží stôl"	637.0	48.8075623	18.2992595	osm	98	518	2.14
"Galová"	461.0	49.0969527	22.0256581	osm	98	379	2.36
"Krížna poľana"	1018.0	48.6908101	20.0380623	osm	98	919	3.22
"Struhár"	1471.0	48.901187	19.462516	osm	98	1350	2.04
"Príslop"	1104.0	49.0166267	19.3578323	osm	98	997	0.86
"Vahan"	1139.0	48.9051765	20.3151875	osm	98	1034	1.93
"Vrbovica"	1394.0	48.9162589	19.816917	osm	98	1289	1.77
"Beskid"	689.5	49.4500936	21.3459702	osm	98	597	2.1
"Hájec"	914.0	49.1550508	19.5831508	osm	98	833	1.69
"Veľká Dubina"	494.0	49.1442706	21.8085365	osm	98	401	2.64
"Dlhý vrch"	283.0	48.0750119	18.3810418	osm	98	196	21.54
"Skálie"	1081.0	48.8226116	20.275827	osm	98	986	1.13
"Žiar"	728.0	48.6830646	19.3127585	srtm	98	630	1.22
"Kavšakov vrh"	1089.0	46.4695659	14.8817837	osm	98	965	1.52
"Bohinjski Migovec"	1896.0	46.2567216	13.7921225	osm	98	1777	0.61
"Luftenberg"	400.0	48.2648485	14.4115818	osm	97	299	3.06
"Schattauerberg"	873.0	48.4415331	14.7627136	srtm	97	776	1.35
"Gscheideggkogel"	1788.0	47.512278	14.6765	osm	97	1681	1.91
"Seßladspitze"	2906.0	47.0705129	10.2931023	osm	97	2772	0.61
"Portlahorn"	2010.0	47.290608	9.84977	osm	97	1896	1.33
"Kanzelköpfe"	2414.0	47.042501	9.741435	srtm-fixed	97	2317	1.21
"Bruchkopf"	3013.0	46.9065283	10.6503974	osm	97	2901	0.85
"Mittagsspitze"	2333.0	47.3682628	11.6423153	osm	97	2211	1.14
"Buchriegel"	584.0	47.9015263	16.1078076	osm	97	495	2.62
"Dürrenberg"	844.0	47.771004	16.001342	osm	97	744	2.06
"Schöneberg"	2282.0	47.271224	10.012481	osm	97	2156	1.19
"Hochkogel"	975.0	47.8658175	15.7861088	osm	97	871	1.08
"Sonneck"	2260.0	47.5617659	12.283543	osm	97	2128	0.67
"Klobenjoch"	2041.0	47.4585491	11.7347186	osm	97	1938	1.17
"Loibersbacher Höhe"	1457.0	47.7402394	13.2964206	osm	97	1343	0.94
"Löffelspitz"	3018.0	47.0611036	12.0552017	osm	97	2881	0.95
"Sulzleklammspitze"	2321.0	47.4186732	11.2926087	osm	97	2183	0.94
"Reißrachkopf"	2210.0	47.2204828	12.9421306	osm	97	2095	1.3
"Markogel"	680.0	47.0897191	15.3198543	osm	97	585	0.98
"Wolfskopf"	1081.0	47.7676	14.5014	osm	97	972	1.39
"Hohe Riffl"	3338.0	47.1228648	12.6660223	osm	97	3227	1.33
"Grollenbergkogel"	769.0	47.974547	15.2067915	osm	97	659	1.04
"Haigerkogel"	884.0	47.9369892	15.1824227	osm	97	775	0.97
"Kulmberg"	684.0	47.6638006	16.0708403	osm	97	590	2.29
"Kulmstein"	1725.0	47.5826461	15.0100703	osm	97	1615	1.32
"Vordere Hasenfluh"	2534.0	47.164533	10.1485887	osm	97	2420	0.94
"Nageleck"	2155.0	47.2724886	14.0726767	osm	97	2030	1.07
"Weggerkogel"	606.0	47.0447713	15.094496	osm	97	513	2.17
"Berger Kogel"	785.0	47.8156155	14.8471343	osm	97	696	1.12
"Dörfelmarkogel"	1163.0	47.7126492	15.0457763	osm	97	1052	1.09
"Valgraggeskopf"	2820.0	46.9115925	10.0223853	osm	97	2706	0.59
"Mohrenkopf"	1645.0	47.360295	10.02517	osm	97	1496	0.74
"Sendlberg"	1026.0	47.736448	13.179149	osm	97	923	1.25
"Šešovec"	899.0	48.754806	13.9794865	osm	97	811	1.74
